url,urlComes,time
https://m.facebook.com/home.php?ref=bookmarks&refid=17,https://m.facebook.com/OpticaOroelJaca/?ref=bookmarks,2017-03-29 18:45:29.459758
http://www.opticaoroel.com/,http://www.opticaoroel.com/,2017-03-29 18:45:29.888908
https://m.facebook.com/home.php?ref=bookmarks&refid=52,https://m.facebook.com/story.php?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156%3A306061129499414%3A2%3A0%3A1491029999%3A-6501859192662780675&id=437727393101156&ref=bookmarks&refid=17&story_fbid=652963518244208,2017-03-29 18:45:30.425890
http://www.opticaoroel.com/,http://www.opticaoroel.com/?add-to-cart=498,2017-03-29 18:45:30.825296
http://www.opticaoroel.com/,http://www.opticaoroel.com/?add-to-cart=497,2017-03-29 18:45:30.869407
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/OpticaOroelJaca/photos/pcb.652963518244208/652954328245127/?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156%3A306061129499414%3A2%3A0%3A1491029999%3A-6501859192662780675&ref=bookmarks&refid=17&source=48&type=3,2017-03-29 18:45:30.875107
http://www.opticaoroel.com/,http://www.opticaoroel.com/?add-to-cart=502,2017-03-29 18:45:30.920726
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/emporio-armani-2036/,2017-03-29 18:45:31.051699
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/empori-armani-4099/,2017-03-29 18:45:31.089474
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/OpticaOroelJaca/photos/pcb.652963518244208/652954331578460/?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&ref=bookmarks&refid=52&source=48&type=3,2017-03-29 18:45:31.148976
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/emporio-armani-2033/,2017-03-29 18:45:31.169589
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/oakley-radar-ev-path/,2017-03-29 18:45:31.248617
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/OpticaOroelJaca/photos/pcb.652963518244208/652954328245127/?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&ref=bookmarks&refid=52&source=48&type=3,2017-03-29 18:45:31.535144
https://m.facebook.com/home.php?ref=bookmarks&refid=52,https://m.facebook.com/story.php?__tn__=C&_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&id=437727393101156&ref=bookmarks&refid=52&story_fbid=652963518244208,2017-03-29 18:45:31.584685
https://m.facebook.com/home.php?ref=bookmarks&refid=52,https://m.facebook.com/story.php?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&id=437727393101156&ref=bookmarks&story_fbid=652963518244208,2017-03-29 18:45:31.856743
https://m.facebook.com/home.php?ref=bookmarks&refid=17,https://m.facebook.com/OpticaOroelJaca/?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&ref=bookmarks,2017-03-29 18:45:31.895075
https://m.facebook.com/home.php?ref=bookmarks&refid=13,https://m.facebook.com/photo.php?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&fbid=652954331578460&id=437727393101156&ref=bookmarks&set=pcb.652963518244208&source=48,2017-03-29 18:45:31.919846
https://m.facebook.com/reg/?cid=102&ref=bookmarks&refid=9,https://m.facebook.com/login.php?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&next=https%3A%2F%2Fm.facebook.com%2FOpticaOroelJaca%2Fphotos%2Fpcb.652963518244208%2F652954328245127%2F%3F_ft_%3Dtop_level_post_id.652963518244208%253Atl_objid.652963518244208%253Athid.437727393101156%253A306061129499414%253A2%253A0%253A1491029999%253A-6501859192662780675%26ref%3Dbookmarks%26refid%3D17%26source%3D48%26type%3D3&ref=bookmarks&refsrc=https%3A%2F%2Fm.facebook.com%2FOpticaOroelJaca%2F%3Fref%3Dbookmarks,2017-03-29 18:45:31.967729
https://m.facebook.com/reg/?cid=102&ref=bookmarks&refid=9,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2FOpticaOroelJaca%2Falbums%2F437730436434185%2F%3F_ft_%3Dtop_level_post_id.652963518244208%253Atl_objid.652963518244208%253Athid.437727393101156%26ref%3Dbookmarks&refsrc=https%3A%2F%2Fm.facebook.com%2FOpticaOroelJaca%2Fphotos%2Fpcb.652963518244208%2F652954328245127%2F%3Fref%3Dbookmarks&ref=bookmarks&_rdr,2017-03-29 18:45:32.070292
https://m.facebook.com/reg/?cid=102&ref=bookmarks&refid=9,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fstory.php%3F__tn__%3DC%26_ft_%3Dtop_level_post_id.652963518244208%253Atl_objid.652963518244208%253Athid.437727393101156%26id%3D437727393101156%26ref%3Dbookmarks%26refid%3D52%26story_fbid%3D652963518244208&ref=bookmarks&refid=52&refsrc=https%3A%2F%2Fm.facebook.com%2Fstory.php%3Fref%3Dbookmarks,2017-03-29 18:45:32.106798
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/r.php?next=https%3A%2F%2Fm.facebook.com%2Fstory.php%3F__tn__%3DC%26_ft_%3Dtop_level_post_id.652963518244208%253Atl_objid.652963518244208%253Athid.437727393101156%26id%3D437727393101156%26ref%3Dbookmarks%26refid%3D52%26story_fbid%3D652963518244208&ref=bookmarks&refid=52,2017-03-29 18:45:32.309780
http://www.opticaoroel.com/,http://www.opticaoroel.com/?add-to-cart=506,2017-03-29 18:45:32.332678
https://m.facebook.com/reg/?cid=102&ref=bookmarks&refid=9,https://m.facebook.com/login.php?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&next=https%3A%2F%2Fm.facebook.com%2FOpticaOroelJaca%2Fphotos%2Fpcb.652963518244208%2F652954328245127%2F%3F_ft_%3Dtop_level_post_id.652963518244208%253Atl_objid.652963518244208%253Athid.437727393101156%26ref%3Dbookmarks%26refid%3D52%26source%3D48%26type%3D3&ref=bookmarks&refsrc=https%3A%2F%2Fm.facebook.com%2Fstory.php%3Fref%3Dbookmarks,2017-03-29 18:45:32.360023
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/r.php?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&next=https%3A%2F%2Fm.facebook.com%2FOpticaOroelJaca%2Fphotos%2Fpcb.652963518244208%2F652954328245127%2F%3F_ft_%3Dtop_level_post_id.652963518244208%253Atl_objid.652963518244208%253Athid.437727393101156%26ref%3Dbookmarks%26refid%3D52%26source%3D48%26type%3D3&ref=bookmarks,2017-03-29 18:45:33.068979
https://m.facebook.com/r.php?next=https%3A%2F%2Fm.facebook.com%2Fhelp%2F%3Fref%3Dbookmarks%26refid%3D9&ref=bookmarks&refid=6,https://m.facebook.com/help/?ref=bookmarks&refid=9,2017-03-29 18:45:33.580322
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/reg/?cid=103&ref=bookmarks&refid=9,2017-03-29 18:45:33.609571
https://m.facebook.com/home.php?ref=bookmarks&refid=17,https://m.facebook.com/OpticaOroelJaca/?__tn__=C&_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&ref=bookmarks&refid=52,2017-03-29 18:45:33.681607
http://www.opticaoroel.com/,http://www.opticaoroel.com/?add-to-cart=510,2017-03-29 18:45:33.744682
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/emporio-armani-4004/,2017-03-29 18:45:33.897016
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/login/identify/?ctx=recover&c=https%3A%2F%2Fm.facebook.com%2Flogin.php%3F_ft_%3Dtop_level_post_id.652963518244208%253Atl_objid.652963518244208%253Athid.437727393101156%26next%3Dhttps%253A%252F%252Fm.facebook.com%252FOpticaOroelJaca%252Fphotos%252Fpcb.652963518244208%252F652954328245127%252F%253F_ft_%253Dtop_level_post_id.652963518244208%25253Atl_objid.652963518244208%25253Athid.437727393101156%25253A306061129499414%25253A2%25253A0%25253A1491029999%25253A-6501859192662780675%2526ref%253Dbookmarks%2526refid%253D17%2526source%253D48%2526type%253D3%26ref%3Dbookmarks%26refsrc%3Dhttps%253A%252F%252Fm.facebook.com%252FOpticaOroelJaca%252F%253Fref%253Dbookmarks&lwv=100&ref=bookmarks&_rdr,2017-03-29 18:45:34.153709
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/login/identify/?ctx=recover&c=https%3A%2F%2Fm.facebook.com%2Flogin.php%3Fnext%3Dhttps%253A%252F%252Fm.facebook.com%252FOpticaOroelJaca%252Falbums%252F437730436434185%252F%253F_ft_%253Dtop_level_post_id.652963518244208%25253Atl_objid.652963518244208%25253Athid.437727393101156%2526ref%253Dbookmarks%26refsrc%3Dhttps%253A%252F%252Fm.facebook.com%252FOpticaOroelJaca%252Fphotos%252Fpcb.652963518244208%252F652954328245127%252F%253Fref%253Dbookmarks%26ref%3Dbookmarks&lwv=100&ref=bookmarks&_rdr,2017-03-29 18:45:34.203730
http://www.opticaoroel.com/,http://www.opticaoroel.com/?add-to-cart=521,2017-03-29 18:45:34.266175
http://www.opticaoroel.com/,http://www.opticaoroel.com/?add-to-cart=517,2017-03-29 18:45:34.311058
https://m.facebook.com/reg/?cid=102&ref=bookmarks,https://m.facebook.com/login/?ref=bookmarks,2017-03-29 18:45:34.329798
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/login/identify/?ctx=recover&c=https%3A%2F%2Fm.facebook.com%2Flogin.php%3Fnext%3Dhttps%253A%252F%252Fm.facebook.com%252Fstory.php%253F__tn__%253DC%2526_ft_%253Dtop_level_post_id.652963518244208%25253Atl_objid.652963518244208%25253Athid.437727393101156%2526id%253D437727393101156%2526ref%253Dbookmarks%2526refid%253D52%2526story_fbid%253D652963518244208%26ref%3Dbookmarks%26refid%3D52%26refsrc%3Dhttps%253A%252F%252Fm.facebook.com%252Fstory.php%253Fref%253Dbookmarks&lwv=100&ref=bookmarks&_rdr,2017-03-29 18:45:34.339355
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/emporio-armani-4073/,2017-03-29 18:45:34.543193
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/about/privacy/?ref=bookmarks,2017-03-29 18:45:34.566450
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/emporio-armani-4101/,2017-03-29 18:45:34.734908
https://m.facebook.com/business?ref=bookmarks,https://m.facebook.com/business/help?ref=bookmarks&refid=6,2017-03-29 18:45:34.762118
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/emporio-armani-4097/,2017-03-29 18:45:34.777655
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/login/identify/?ctx=recover&c=https%3A%2F%2Fm.facebook.com%2Flogin.php%3F_ft_%3Dtop_level_post_id.652963518244208%253Atl_objid.652963518244208%253Athid.437727393101156%26next%3Dhttps%253A%252F%252Fm.facebook.com%252FOpticaOroelJaca%252Fphotos%252Fpcb.652963518244208%252F652954328245127%252F%253F_ft_%253Dtop_level_post_id.652963518244208%25253Atl_objid.652963518244208%25253Athid.437727393101156%2526ref%253Dbookmarks%2526refid%253D52%2526source%253D48%2526type%253D3%26ref%3Dbookmarks%26refsrc%3Dhttps%253A%252F%252Fm.facebook.com%252Fstory.php%253Fref%253Dbookmarks&lwv=100&ref=bookmarks&_rdr,2017-03-29 18:45:34.917281
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/hashtag/muchoquevercontigo?_ft_=top_level_post_id.656401401233753%3Atl_objid.656401401233753%3Athid.437727393101156%3A306061129499414%3A69%3A0%3A1491029999%3A5050017596781731360&ref=bookmarks&refid=17,2017-03-29 18:45:34.994890
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/oakley-radar-ev-path/?add-to-cart=356,2017-03-29 18:45:35.043120
https://m.facebook.com/reg/?cid=102&ref=bookmarks,https://m.facebook.com/login/?_ft_=top_level_post_id.652963518244208%3Atl_objid.652963518244208%3Athid.437727393101156&next=https%3A%2F%2Fm.facebook.com%2FOpticaOroelJaca%2Fphotos%2Fpcb.652963518244208%2F652954328245127%2F%3F_ft_%3Dtop_level_post_id.652963518244208%253Atl_objid.652963518244208%253Athid.437727393101156%253A306061129499414%253A2%253A0%253A1491029999%253A-6501859192662780675%26ref%3Dbookmarks%26refid%3D17%26source%3D48%26type%3D3&ref=bookmarks&refsrc=https%3A%2F%2Fm.facebook.com%2FOpticaOroelJaca%2F%3Fref%3Dbookmarks,2017-03-29 18:45:35.047926
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/356/,2017-03-29 18:45:35.194022
https://m.facebook.com/reg/?cid=102&ref=bookmarks,https://m.facebook.com/login/?next=https%3A%2F%2Fm.facebook.com%2FOpticaOroelJaca%2Falbums%2F437730436434185%2F%3F_ft_%3Dtop_level_post_id.652963518244208%253Atl_objid.652963518244208%253Athid.437727393101156%26ref%3Dbookmarks&ref=bookmarks&refsrc=https%3A%2F%2Fm.facebook.com%2FOpticaOroelJaca%2Fphotos%2Fpcb.652963518244208%2F652954328245127%2F%3Fref%3Dbookmarks,2017-03-29 18:45:35.211287
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/policies/cookies/?refsrc=https%3A%2F%2Fm.facebook.com%2Fr.php%3Fref%3Dbookmarks&ref=bookmarks&_rdr,2017-03-29 18:45:35.224324
https://m.facebook.com/r.php?next=https%3A%2F%2Fm.facebook.com%2Fhelp%2F%3Fref%3Dbookmarks&ref=bookmarks&refid=6,https://m.facebook.com/help/?ref=bookmarks,2017-03-29 18:45:35.286779
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/crossrange-xl/,2017-03-29 18:45:35.430836
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/emporio-armani-4004/?add-to-cart=469,2017-03-29 18:45:35.467297
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/login/identify/?ctx=recover&c=https%3A%2F%2Fm.facebook.com%2Flogin%2F%3Fref%3Dbookmarks&lwv=100&ref=bookmarks&_rdr,2017-03-29 18:45:35.477730
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/help/contact/1461223320847982?ref=bookmarks&refsrc=https%3A%2F%2Fm.facebook.com%2Fabout%2Fprivacy%2F%3Fref%3Dbookmarks&_rdr,2017-03-29 18:45:35.535216
https://m.facebook.com/reg/?cid=102&ref=bookmarks&refid=9,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fhelp%2F%3Fref%3Dbookmarks&ref=bookmarks&refid=6&refsrc=https%3A%2F%2Fm.facebook.com%2Flogin%2F%3Fref%3Dbookmarks,2017-03-29 18:45:35.673923
https://feedback-form.truste.com/watchdog/request,https://lm.facebook.com/l.php?h=ATMKLvqR4tIC9Anx_vtMabXP7379nXCLFQS48w5qXMjY3aX3R0O2hGDyprN5-EgC-C9lWgdLO2Y8q-vRdOFXF5Y1FL7Z2xsHwVTxOiNnfZp3B2JHbwmVaffui-b0&s=1&u=https%3A%2F%2Ffeedback-form.truste.com%2Fwatchdog%2Frequest,2017-03-29 18:45:35.754073
https://m.facebook.com/help/?helpref=header_back&ref=bookmarks&refid=69,https://m.facebook.com/help/562973647153813/?ref=bookmarks,2017-03-29 18:45:35.930407
https://m.facebook.com/help/?helpref=header_back&ref=bookmarks&refid=69,https://m.facebook.com/help/125338004213029?ref=bookmarks,2017-03-29 18:45:35.956491
https://m.facebook.com/business?ref=bookmarks,https://m.facebook.com/business/help/328674007509201?helpref=hc_global_nav&hub_path%5B0%5D=Billing+%26+Payments&ref=bookmarks,2017-03-29 18:45:35.997153
https://m.facebook.com/home.php?ref=bookmarks,https://m.facebook.com/help/contact/861937627253138?ref=bookmarks,2017-03-29 18:45:36.021874
http://www.opticaoroel.com/,http://www.opticaoroel.com/product/sample-product/emporio-armani-4004/?add-to-cart=473,2017-03-29 18:45:36.211459
https://m.facebook.com/help/?helpref=header_back&ref=bookmarks&refid=69,https://m.facebook.com/help/302796099745838?ref=bookmarks,2017-03-29 18:45:36.281231
